,Page,Block,Text,Image path
0,1,1,"BECHU GAUD involved if the expecting Gore Kami of Ramgram_ expecting mothers give birth to
AWAPPARAST, JAN. 7 mother gives birth to a baby boy. Municipality-isaid that it has been — sons,” said another midwife Murati
sixty-five-year-old Champa However, the midwife is paid only the law in the area to pay only Harijan.

arijan returned home haplessly half the amount when the newborn half the wage to midwives when She further claimed that the
yn Sunday. She was neither in an child isa girl. daughters are born. new born baby, postnatal
igony of her own nor misbehaved “We have to work equally hard “The news of a daughter’s birth mother and midwife were all ill-
yy any others. whether it is a son or a daughter. makes us anxious as the burden of treated whenever birth of daugh-

A baby girl was born onthe very Why is there discrimination in the dowry crosses our minds,” said ters happen.
lay in her neighbourhood and _ wages?” she fumed. Gore. He also paid Rs 50 to the mid- “My hubby and mother in-law
herefore she had reason to be According to Champa, who has___ wife four months ago when his wife did not provide me enough food
sad and gloomy. been working as a midwife for the gave birth to a daughter. He, howev- even during the postnatal period
“A daughter was born. And I past 40 years, one and all becomes _ er, reminisced that he had paid Rs __ simply because I gave birth to a girl
as paid half of my normal wage,” happy if the mother is fortunate 100 to the midwife and hosted a_ child,” said a woman from Rampur.
said Champa, a midwife involved in enough to give birth to a baby boy. feast as well when he became the She claimed that the deeply rooted
he delivery, with a sigh. “They get angry with the midwife father of a son three years back. dowry system in Madhesh is mainly
It has been the standard rate to andthe mother in the case of a baby “We are provided in cash, to blame for such kind of discrimi-
yay 100 rupees to the midwife _ girl,” she added. clothes and valuables when the nations being prevalent.
(|S
,
",outputs/1/1.png
1,1,2,"_ _ In parhament.
neturn seized assets In 3 Months: o€ | teste:
e liament and withdrawn its
protest after the prime minister
agreed to address the parlia-
See Sanan been a major issue among polit- The government’s repeated spokesman. CPN (Maoist) ment making a commitment to
——____— ical parties since the beginning pledge to return Maoist-seized Spokesman Dinanath Sharma meet NC’s demands and estab-
he Supreme Court (SC) on _ of the peace process. lands and properties also seem said the SC's order and the lish a mechanism to monitor
londay ordered the govern- The joint bench of Justices hollow thus far. government's commitment to whether the government was
ent to return all lands and Min Bahadur Rayamajhi and Opposition Nepali return seized lands and prop- sincerely implementing its
roperties seized by Maoists to Kalyan Shrestha issued the fiat Congress (NC) and coalition erties in three months have commitments.
ie rightful owners in three to the government following a partner CPN-UML, who have _ come as anticipated and coin- Nepali Congress demands
onths. writ petition at the apex court been pressing the government  cidentally on the same day. included returning Maoist-
The apex court has direct- by 44 families of Dang, Bardiya and the Maoist leadership to “The apex court directive seized properties within three
1 the government to form dis- and Salyan districts claiming return seized lands and prop-_ will help the government months and disbanding the
ict level mechanisms com-_ that over 160 hectares of their erties, have welcomed the SC's implement the task of paramilitary structure of the
rising parties’ representa- land was still under Maoist order. returning seized lands and Maoist youth wing — Young
ves, victims and legal experts occupation. “The SC directive has now _ properties,” he said. Communist League.
» identify lands and proper- Although cases of confisca- exerted legal pressure on the Later on Wednesday, The prime minister said the
es under Maoist occupation _ tion of private lands and prop- Maoist-led government, speaking at the Constituent government has already initiat-
ad make arrangements for erties by Maoist cadres are which has been reneging on Assembly, Prime Minister ed the process of returning
leir restitution accordingly. widespread, the government past commitment to return Pushpa Kamal Dahal said the seized properties captured by
Lands and properties seized _ has so far failed to prepare the seized lands and properties,” seized properties would be the sister organisations of vari-
y Maoists has time and again — exact record of seized assets. said Arjun Narsingh KC, NC _ returned in three months. ous political parties to the right-
ful owners.
(Contd on Pg 3)
army integration panel
y g [ * PENNY LAME:
WOMEN’S WEAR
ice-chairman of National Planning the meeting held late Wednesday.
ommission. The government has also formed i
Three names had been proposed a commission under the convenor- —_—
or the post of governor by a three- ship of the minister of land reforms Zz
nember committee headed by _ to address issues related to freed . |
é ; ; kamaiyas. Prime Minister Dahal has we , a=
6 The army integration been looking after the land reforms i _ 3
; ; portfolio since the resignation of —_——— -
committee will have two = Matrika Yadav as minister for land = 1
reforms and management a a :
nembers each from few months back. | -
. As per the demands of the Badi ,
CPN (Maoist), NC, UML community, the cabinet also decided | Y
to declare the community free of /
and MUJF. ) ) sexual exploitation and to introduce
a bill in the legislature parliament to Ju bs ,
‘nance Minister Dr. Baburam address agreements reached with 4 AF
syhattarai. The names proposed were the community. | ss A) \
yipendra Bahadur Chettri, The cabinet discussed declaring - :
hreeram Poudel and Bir Bikram schools zones of peace but did not (.
ayamajhi. Chettri was considered make a decision. Likewise, the deci-
he front-runner for the post. sion to make factories and highways
“The Prime Minister will hold zones of peace to free them of strikes
iscussions with UML to agree ona __ and obstructions will be taken in the é me
ame,” said Minister of Commerce next cabinet meeting, according to '
nd Supplies Rajendra Mahato after sources.
t daughters’ birth iy
ON awn TW ween at  Dawraanxnawn ANreRAAA ee tt REhRaAws asxevn Kkevkh £04 “
",outputs/1/2.png
2,1,3,"PM to head army integration panel
y g [ ae ol 10 A |=
WOMEN’S WEAR
Ome a vice-chairman of National Planning — the meeting held late Wednesday.
OO CmMission. The government has also formed
The cabinet meeting on Wednesday Three names had been proposed a commission under the convenor-
decided that Prime Minister Pushpa for the post of governor by a three- _ ship of the minister of land reforms
Kamal Dahal will head the eight- member committee headed by _ to address issues related to freed
member Army Integration Special , ; ; kamaiyas. Prime Minister Dahal has
Committee. The Committee will §@6 The army integration been looking after the land reforms
have two members each from CPN . . portfolio since the resignation of oe
(Maoist), Nepali Congress, committee will have twO  Matrika Yadav as minister for land
CPN-UML and Madheshi reforms and management a a
Janadhikar Forum. members each from few months back. f .
The Nepali Congress had refused . As per the demands of the Badi PS
to join the earlier committee headed CPN (Maoist) 5 NC, UML = community, the cabinet also decided X es
by Deputy Prime Minister and @@ to declare the community free of ™
Home Minister Bam Dev Gautam and MJF. - sexual exploitation and to introduce
saying it wanted equal representa- a bill in the legislature parliament to
tion as the Maoists. The Maoists Finance Minister Dr. Baburam address agreements reached with 8
had two members in the committee Bhattarai. The names proposed were the community.
and the three other parties one Dipendra Bahadur Chettri, The cabinet discussed declaring -
member each. Shreeram Poudel and Bir Bikram _ schools zones of peace but did not t
A decision on the appointment Rayamajhi. Chettri was considered make a decision. Likewise, the deci-
of Nepal Rastra Bank (NRB) gover- _ the front-runner for the post. sion to make factories and highways
nor could not be made as Maoists “The Prime Minister will hold zones of peace to free them of strikes
and UML could not agreeonaname. discussions with UML to agree ona __and obstructions will be taken in the
Sources said UML wanted its candi- name,” said Minister of Commerce next cabinet meeting, according to
date to either be (NRB) governor or and Supplies Rajendra Mahato after _ sources.
o ®
d half at daughters’ birth ,
$s paid half at daughters’ bir
involved if the expecting Gore Kami of Ramgram_ expecting mothers give birth to
mother gives birth to a baby boy. Municipality-isaid that it has been — sons,” said another midwife Murati >
However, the midwife is paid only the law in the area to pay only  Harian. | |
half the amount when the newborn half the wage to midwives when She further claimed that the :
child is a girl. daughters are born. new born baby, postnatal
“We have to work equally hard “The news of a daughter’s birth mother and midwife were all ill-
whether it is a son or a daughter. makes us anxious as the burden of treated whenever birth of daugh-
Why is there discrimination in the dowry crosses our minds,” said ters happen.
wages?” she fumed. Gore. He also paid Rs 50 to the mid- “My hubby and mother in-law
According to Champa, who has___ wife four months ago when his wife did not provide me enough food Ps
been working as a midwife for the gave birth to a daughter. He, howev- even during the postnatal period
past 40 years, one and all becomes __ er, reminisced that he had paid Rs __ simply because I gave birth to a girl
happy if the mother is fortunate 100 to the midwife and hosted a_ child,” said a woman from Rampur.
enough to give birth to a baby boy. feast as well when he became the She claimed that the deeply rooted
“They get angry with the midwife father of a son three years back. dowry system in Madhesh is mainly
and the mother in the case of a baby “We are provided in cash, to blame for such kind of discrimi-
girl,” she added. clothes and valuables when the nations being prevalent.
(|S
,
",outputs/1/3.png
3,1,4,"7 fs Pha ee dig .
66 | have directed ms Peo B
eh i ' al
PADT to recommend s+ can 2
me YA eee
name list of priests ~ = ° Wo
.; tame NO ? ae
for appointment. t S|) Qe Z ‘@
. = Zul 6 fam ‘aa
Appointment of new © Teck» «tae «(YH
= . = aS ' 3 ee T~
priests will be _— D> Same! |
transparent.? 7 ae

“In my capacity as prime - ea
minister and PADT patron, I
have decided to approve the
resignation tendered by old
priests (Indian priests) and
revoked the appointment of .
new ones (Nepali priests),” Return SE1ZeC
Dahal said while addressing the
Legislature-Parliament on
Wednesday.

“I honour the Supreme Pen Sanan been a major issu
Court order and have directed §=—~ ~~. -——_ ical parties since
the PADT to manage normal The Supreme Court (SC) on _ of the peace proce
worship at the temple by the Monday ordered the govern- The joint ben
same Indian priests for the time ment to return all lands and Min Bahadur R:
being,” Dahal said. The SC on properties seized by Maoists to Kalyan Shrestha:
last Thursday had issued an the rightful owners in three to the governme!
interim order to the govern- months. writ petition at t
ment asking the latter to assign The apex court has direct- by 44 families of |
the same Indian priests the ed the government to form dis- and Salyan dist
task of performing daily wor- trict level mechanisms com- _ that over 160 het
ship at the temple. prising parties’ representa- land was still 1

Stating that the appoint- tives, victims and legal experts occupation.
ment of Nepali priests has sent to identify lands and proper- Although case
shockwaves even in India, ties under Maoist occupation _ tion of private lai
Dahal said he has directed and make arrangements for erties by Maoi:
PADT to recommend a name their restitution accordingly. widespread, the
list of priests to him for Lands and properties seized _ has so far failed t
appointment. He said new _ by Maoists has time and again exact record of sé
priests at the temple will be
1M to head army integratio
SH nL vice-chairman of National Planning — the meetin;
Commission. The gov
1e cabinet meeting on Wednesday Three names had been proposed a commiss
cided that Prime Minister Pushpa for the post of governor by a three- _ ship of the
amal Dahal will head the eight- member committee headed by _ to address
ember Army Integration Special ; ; kamaiyas. |
mmmittee. The Committee will 6¢€ The army intearation been looki
",outputs/1/4.png
4,1,5,"POST REPORT
KATHMANDU, JAN. 7
Prime Minister Pushpa Kamal
Dahal on Wednesday reiterated
that the government would
implement the agreements
reached with the Nepali
Congress, amend the scholarship
bill, and maintain law and order.
Expressing concern over dis-
ruption of the Legislature-
Parliament by political parties,
he said the main issue — making
of the new constitution — has
been overshadowed by other
issues. He appealed to political
parties to seek other means
instead of disrupting the House
to solve problems. After three
weeks of disruption — first by
Nepali Congress and then fringe
political parties — the House
resumed on Wednesday.
",outputs/1/5.png
5,1,6,"Congress
POST B. BASNET SS : appointed in a_ transparent
SAUMANDU, IAN => S manner. But he did not elabo- demands
In a twist to the ongoing contro- ss % % ACE PRoc ESS ° rate whether the new priests
versy surrounding the appoint- Swi —_—_—_————— o will be Nepalis or Indians.
ment of Nepali priests at (@ “Tae Owing to mounting pres- POST REPORT
Pashupatinath temple, Prime ids ( pr eke > A Yo sure, the Maoist-led government tt.
ishup ple, ee Nam we) See Dae % 5 XM. 8 ar
Minister Pushpa Kamal Dahal in YS — Oe Se C a was compelled to revoke the Prime Minister Pushpa Kamal
on Wednesday scrapped all the = pO y] \_ = . ? eg jot xi appointment of Nepali priests at Dahal on Wednesday reiterated
decisions, including the appoint- oor h Ee oH \y i wz 2 if / -@ a. the temple. The government that the government would
ment of new priests, taken by the “pie WS ~_e~ ! ie a _ SD ay came into controversy after it implement the agreements
Pashupatinath Area ~ y Yer a etl . SS “2, a_i ie 2 & appointed Nepali priests at the reached with the Nepali
Development Trust (PADT). 4 ie kA Ay ae . oar —~s an s  @ temple last Sunday, breaking the Congress, amend the scholarship
CC y a SS A i | ‘a ' o~ $ ne three centuries-old practice of bill, and maintain law and order.
i Fh y “= ibe A me ae / : Ze appointing priests from South Expressing concern over dis-
| have directed ae yo pe » ARMY Sao India. The PADT had taken the ruption of the Legislature-
PADT to recommend te =“ | open ~ Ss | = iin, a decision following the resigna- Parliament by political parties,
! j — oa 0 en ee FT aa C Cae aD Teh tion “ India priests. ; ne sarc the main issue — maxing
CF i q ats YF The government decision of the new constitution — has
name list of priests ‘a . b \] ka JON = — sparked controversy. On been overshadowed by other
for appointment. | ly va x ae UPICIAKE Tuesday, leader of Bharatiya issues. He appealed to political
. | ee 6 | ~—m See >, ~*~ | 1, a Janata Party of India dubbed parties to seek other means
Appointment of new ! wep) ) Red» < Cpe + 1 —p ‘o $Y) Rak / yr the Nepal government’s treat- instead of disrupting the House
ee PP C3 G&S we |e —— ment of Indian priests “shabby to solve problems. After three
nriacte uwnill ha ‘ee: Sa Gay an a 7 ..e¢¢ Pe and wnnroavolzad” Ryan noliti_ yraale anf dqiennntinn — firet hy
",outputs/1/6.png
6,1,7,"Contd on Pg 3
Se
ic
om
as f
{
6
ailable at:
1ERPA MALL
ners T melee)
",outputs/1/7.png
7,1,8,"the meeting held late Wednesday.
The government has also formed
a commission under the convenor-
ship of the minister of land reforms
to address issues related to freed a
kamaiyas. Prime Minister Dahal has
been looking after the land reforms ‘
portfolio since the resignation of >
Matrika Yadav as minister for land .
reforms and management a ""1
few months back.
As per the demands of the Badi ‘4
community, the cabinet also decided ae
to declare the community free of \,
sexual exploitation and to introduce :
a bill in the legislature parliament to
address agreements reached with 8
the community. 4
The cabinet discussed declaring -
schools zones of peace but did not ;
make a decision. Likewise, the deci-
sion to make factories and highways
zones of peace to free them of strikes
and obstructions will be taken in the €. @:
next cabinet meeting, according to
sources.
9 Oo p 4 i
ers’ birth ‘
expecting mothers give birth to ~ ei
sons,” said another midwife Murati “
Harijan.
She further claimed that the ""
new born baby, postnatal
mother and midwife were all ill-
treated whenever birth of daugh- 6 6
ters happen. a
“My hubby and mother in-law
did not provide me enough food Ps
even during the postnatal period f
simply because I gave birth to a girl
child,” said a woman from Rampur. Available at:
She claimed that the deeply rooted
dowry system in Madhesh is mainly S a, = gal MAL i
to blame for such kind of discrimi- Durbar Marg
nations being prevalent.
(|S
\
",outputs/1/8.png
8,1,9,"dil d LWiot LO UIC OLISOIIS COMLLO- \
versy surrounding the appoint- — i aS
ment of Nepali priests at (A a)
Pashupatinath temple, Prime a! ‘s sd 4D .
Minister Pushpa Kamal Dahal eee hy - se Si
on Wednesday scrapped all the | Si » Ni Dy. Sz
decisions, including the appoint- en a e\ SM | y _
ment of new priests, taken by the ee “pe : 5 =e
Pashupatinath Area Fe <7 t~ y eee ZS
Development Trust (PADT). <j ; [2 t Ay ys 4
4 ae z = ‘.
6¢ | have directed NWS. Bee
: YY 1
PADT to recommend of OT eps »
‘ ; a 0 A fe
name list of priests ( Ss \ 4 Q worx
for appointment. { 3 9) Le a
Appointment of new =< pu) Ki. teeties > ~\
ppo t e t of ne Se ae = ee
priests will be ms Dp ‘me| *f
transparent.? 7 ee alle.

“In my capacity as prime GR
minister and PADT patron, I
have decided to approve the
resignation tendered by old
priests (Indian priests) and
revoked the appointment of :
new ones (Nepali priests),” Return SE1ZeC
Dahal said while addressing the
Legislature-Parliament on
Wednesday.

“I honour the Supreme Pen Sanan been a major issue
Court order and have directed = ~~~. -—————_ ica parties since |
the PADT to manage normal The Supreme Court (SC) on of the peace proce
worship at the temple by the Monday ordered the govern- The joint ben
same Indian priests for the time ment to return all lands and Min Bahadur Ra
being,” Dahal said. The SC on properties seized by Maoists to Kalyan Shrestha i
last Thursday had issued an the rightful owners in three to the governmer
interim order to the govern- months. writ petition at tl
ment asking the latter to assign The apex court has direct- by 44 families of I
the same Indian priests the ed the government to form dis- and Salyan distr
",outputs/1/9.png
9,1,10,"Minis all wl LY te L1IVULD.e 4 PTUuVvtwW WY
According to an official at
NEA System Operations transpar
Department of NEA, the load
shedding hours are likely to “In my «
jump further after power minister anc
generation from Kali Gandaki have decide
‘A’, decreased by more than resignation
60 percent. “The 144-MW priests (Ind
Kali Gandaki ‘A’ is generating revoked the
only 60 MW now a days and new ones |
power generation is expected Dahal said w
to decrease to 50-MW in the Legislature-|]
coming days,” a _ source Wednesday.
added. Likewise, the 60-MW “IT hono
Khimti Hydro Electric Court order
Project is only generating the PADT t
18-MW. worship at t
Meanwhile, the water level same Indian
at Kulekhani Reservoir is at its being,” Dahe
lowest ever. last Thursdé
“NEA is doing homework interim orde
to increase load shedding to 16 ment asking
hours a day in a couple of days, the same I
though the official announce- task of perf
ment date has not yet been ship at the te
decided,” according to the Stating 1
source. Officials at the ment of Nep:
Systems Operation shockwaves
Department said they had Dahal said
started to increase the power PADT to rec
outage to 16 hours a day from list of pric
Thursday as the deficit of units appointment
is too high to handle. priests at tk
According to NEA, the
daily demand of power is 500-
MW in the day time and 800-
MW in evening. However, the
supply is only 320-MW t
including the power imported
from India.
On Tuesday, the water level
went down by 30-35 centime- Arent tite
tres in Kulekhani Reservoir
while the level of water to be The cabinet me
used from the Reservoir should decided that Pr
be only 10 centimetres to gen- Kamal Dahal °
erate electricity from member Army
Kulekhani till April. Committee. T
have two mem
(Maoist), }
INSIDE orem
eo ——C J arnachhikar For
The Nepali.
SSB camp in Nepali territory to join the earli
Pg2 by Deputy P
; ; Home Ministe:
India asked to repair towers saying it want
Py 2 tion as the M
had two memb
Three blast suspects held and the three
Pg 3 member each.
; ; ; A decision
Won’t war with India: ISI chief of Nepal Rastr:
Pg 6 nor could not
inflation up 14.1 pe in Mangsir ee Kos
Pg7 _—_ date to either k
Midwi |
",outputs/1/10.png
