level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	400	1080	-1	
2	1	1	0	0	0	8	41	389	1038	-1	
3	1	1	1	0	0	8	41	389	1038	-1	
4	1	1	1	1	0	8	41	254	36	-1	
5	1	1	1	1	1	8	41	118	36	96.508736	कान्तिपुर
5	1	1	1	1	2	135	44	127	28	95.800346	संवाददाता
4	1	1	1	2	0	8	127	389	44	-1	
5	1	1	1	2	1	8	127	120	35	91.747993	काठमाडौं-
5	1	1	1	2	2	145	130	114	32	96.458549	सरकारको
5	1	1	1	2	3	274	130	69	41	95.370720	नेतृत्व
5	1	1	1	2	4	358	129	39	32	95.100014	गर्न
4	1	1	1	3	0	8	175	334	34	-1	
5	1	1	1	3	1	8	175	125	33	96.041809	राजनीतिक
5	1	1	1	3	2	147	176	102	33	96.278069	दलहरूले
5	1	1	1	3	3	264	176	78	32	96.038750	राखेका
4	1	1	1	4	0	8	221	385	33	-1	
5	1	1	1	4	1	8	221	42	33	96.158607	सर्त
5	1	1	1	4	2	65	231	14	23	93.251320	र
5	1	1	1	4	3	95	221	101	33	91.978317	भाषाप्रति
5	1	1	1	4	4	211	221	182	33	96.594254	प्रधानन्यायाधीश
4	1	1	1	5	0	8	267	314	42	-1	
5	1	1	1	5	1	8	267	98	33	96.652267	खिलराज
5	1	1	1	5	2	120	267	77	32	96.819717	रेग्मीले
5	1	1	1	5	3	214	267	108	42	96.550270	असन्तुष्टि
4	1	1	1	6	0	8	312	331	41	-1	
5	1	1	1	6	1	8	322	100	28	96.793236	जनाएका
5	1	1	1	6	2	123	322	46	31	93.109016	छन्‌
5	1	1	1	6	3	169	308	13	49	92.534966	।
5	1	1	1	6	4	201	312	56	34	96.779694	त्यही
5	1	1	1	6	5	271	322	68	22	96.527100	कारण
4	1	1	1	7	0	8	358	272	38	-1	
5	1	1	1	7	1	8	362	105	28	96.242897	मंगलबार
5	1	1	1	7	2	128	358	40	32	96.526688	गर्ने
5	1	1	1	7	3	183	358	97	38	96.434708	भनिएको
4	1	1	1	8	0	8	404	377	42	-1	
5	1	1	1	8	1	8	404	117	34	96.589706	सहमतिमा
5	1	1	1	8	2	139	414	96	24	96.523499	हस्ताक्षर
5	1	1	1	8	3	250	414	36	32	96.244980	हुन
5	1	1	1	8	4	301	405	64	32	93.219025	सकेन
5	1	1	1	8	5	382	414	3	22	92.409134	।
4	1	1	1	9	0	43	450	304	34	-1	
5	1	1	1	9	1	43	450	67	33	96.030716	दलीय
5	1	1	1	9	2	125	450	119	34	96.437737	सहमतिका
5	1	1	1	9	3	259	450	88	32	96.101540	कतिपय
4	1	1	1	10	0	8	494	335	40	-1	
5	1	1	1	10	1	8	496	64	32	92.181473	विषय
5	1	1	1	10	2	87	497	92	32	96.317863	संशोधन
5	1	1	1	10	3	195	496	85	38	96.669151	भएपछि
5	1	1	1	10	4	295	494	48	34	96.509674	मात्रै
4	1	1	1	11	0	8	542	360	42	-1	
5	1	1	1	11	1	8	543	69	41	96.800537	नेतृत्व
5	1	1	1	11	2	92	542	49	32	96.567581	लिन
5	1	1	1	11	3	155	543	56	32	69.189316	सक्ने
5	1	1	1	11	4	225	543	63	32	95.642204	उनले
5	1	1	1	11	5	299	543	69	32	96.281799	संकेत
4	1	1	1	12	0	8	587	338	38	-1	
5	1	1	1	12	1	8	588	66	31	95.980408	गरेका
5	1	1	1	12	2	89	587	45	38	93.155571	थिए
5	1	1	1	12	3	139	583	12	47	91.386620	।
5	1	1	1	12	4	171	587	99	36	95.256401	त्यसलाई
5	1	1	1	12	5	285	587	61	38	96.110748	लिएर
4	1	1	1	13	0	8	633	346	39	-1	
5	1	1	1	13	1	8	633	135	39	95.461838	एमाओवादी,
5	1	1	1	13	2	160	634	79	38	96.367813	कांग्रेस,
5	1	1	1	13	3	256	634	69	37	96.641785	एमाले
5	1	1	1	13	4	340	643	14	22	96.965775	र
4	1	1	1	14	0	8	679	387	33	-1	
5	1	1	1	14	1	8	679	71	32	95.592621	मधेसी
5	1	1	1	14	2	93	679	93	32	95.592621	मोर्चाको
5	1	1	1	14	3	201	683	105	28	96.275383	मंगलबार
5	1	1	1	14	4	321	680	74	32	96.731995	बसेको
4	1	1	1	15	0	8	723	384	35	-1	
5	1	1	1	15	1	8	723	61	35	95.773575	बैठक
5	1	1	1	15	2	84	726	121	32	96.053162	संशोधनमा
5	1	1	1	15	3	220	735	62	23	96.918892	तयार
5	1	1	1	15	4	297	725	76	33	93.027603	देखियो
5	1	1	1	15	5	390	736	2	21	91.946007	।
4	1	1	1	16	0	43	771	323	42	-1	
5	1	1	1	16	1	43	772	83	32	96.352951	स्रोतका
5	1	1	1	16	2	143	781	83	32	96.229927	अनुसार
5	1	1	1	16	3	241	771	125	33	96.283348	राजनीतिक
4	1	1	1	17	0	8	815	355	36	-1	
5	1	1	1	17	1	8	818	71	32	96.541672	दलको
5	1	1	1	17	2	93	817	51	32	94.559860	शीर्ष
5	1	1	1	17	3	159	815	82	35	96.378479	बैठकले
5	1	1	1	17	4	256	817	49	34	96.294106	केही
5	1	1	1	17	5	320	817	43	33	96.039940	गरी
4	1	1	1	18	0	8	862	386	33	-1	
5	1	1	1	18	1	8	862	88	33	96.085518	जेठभित्र
5	1	1	1	18	2	111	862	96	32	95.674965	निर्वाचन
5	1	1	1	18	3	222	862	39	32	94.898979	गर्न
5	1	1	1	18	4	276	863	65	32	95.905296	नसके
5	1	1	1	18	5	358	872	36	22	96.385361	थप
4	1	1	1	19	0	8	908	306	38	-1	
5	1	1	1	19	1	8	918	41	28	96.744286	एक
5	1	1	1	19	2	64	908	105	32	95.453056	कार्यकाल
5	1	1	1	19	3	184	908	43	33	95.341736	दिन
5	1	1	1	19	4	242	908	72	33	94.916031	सकिने
4	1	1	1	20	0	8	954	367	35	-1	
5	1	1	1	20	1	8	954	121	33	72.361649	समझदारी
5	1	1	1	20	2	144	955	66	32	96.161690	गरेको
5	1	1	1	20	3	225	964	23	25	92.677773	छ
5	1	1	1	20	4	264	964	2	22	91.166039	।
5	1	1	1	20	5	283	954	92	33	95.609169	यसअघि
4	1	1	1	21	0	8	1000	333	33	-1	
5	1	1	1	21	1	8	1000	88	33	96.427132	जेठभित्र
5	1	1	1	21	2	111	1000	96	32	95.873398	निर्वाचन
5	1	1	1	21	3	222	1000	39	32	96.349754	गर्न
5	1	1	1	21	4	276	1001	65	32	94.545815	नसके
4	1	1	1	22	0	8	1046	359	33	-1	
5	1	1	1	22	1	8	1046	124	33	96.180679	राजनीतिक
5	1	1	1	22	2	147	1047	71	32	96.104805	दलको
5	1	1	1	22	3	233	1046	134	33	95.831078	उच्चस्तरीय
